Seq_54	QWKM01000054.1 Sorghum bicolor cultivar Tx430 Contig_16, whole genome shotgun sequence
Seq_55	QWKM01000055.1 Sorghum bicolor cultivar Tx430 Contig_160, whole genome shotgun sequence
Seq_56	QWKM01000056.1 Sorghum bicolor cultivar Tx430 Contig_161, whole genome shotgun sequence
Seq_57	QWKM01000057.1 Sorghum bicolor cultivar Tx430 Contig_163, whole genome shotgun sequence
Seq_58	QWKM01000058.1 Sorghum bicolor cultivar Tx430 Contig_164, whole genome shotgun sequence
Seq_59	QWKM01000059.1 Sorghum bicolor cultivar Tx430 Contig_165, whole genome shotgun sequence
Seq_60	QWKM01000060.1 Sorghum bicolor cultivar Tx430 Contig_166, whole genome shotgun sequence
Seq_61	QWKM01000061.1 Sorghum bicolor cultivar Tx430 Contig_167, whole genome shotgun sequence
Seq_62	QWKM01000062.1 Sorghum bicolor cultivar Tx430 Contig_168, whole genome shotgun sequence
Seq_63	QWKM01000063.1 Sorghum bicolor cultivar Tx430 Contig_169, whole genome shotgun sequence
Seq_64	QWKM01000064.1 Sorghum bicolor cultivar Tx430 Contig_17, whole genome shotgun sequence
Seq_65	QWKM01000065.1 Sorghum bicolor cultivar Tx430 Contig_170, whole genome shotgun sequence
Seq_66	QWKM01000066.1 Sorghum bicolor cultivar Tx430 Contig_171, whole genome shotgun sequence
Seq_67	QWKM01000067.1 Sorghum bicolor cultivar Tx430 Contig_172, whole genome shotgun sequence
Seq_68	QWKM01000068.1 Sorghum bicolor cultivar Tx430 Contig_173, whole genome shotgun sequence
Seq_69	QWKM01000069.1 Sorghum bicolor cultivar Tx430 Contig_174, whole genome shotgun sequence
Seq_70	QWKM01000070.1 Sorghum bicolor cultivar Tx430 Contig_175, whole genome shotgun sequence
Seq_71	QWKM01000071.1 Sorghum bicolor cultivar Tx430 Contig_176, whole genome shotgun sequence
Seq_72	QWKM01000072.1 Sorghum bicolor cultivar Tx430 Contig_177, whole genome shotgun sequence
Seq_73	QWKM01000073.1 Sorghum bicolor cultivar Tx430 Contig_178, whole genome shotgun sequence
Seq_74	QWKM01000074.1 Sorghum bicolor cultivar Tx430 Contig_179, whole genome shotgun sequence
Seq_75	QWKM01000075.1 Sorghum bicolor cultivar Tx430 Contig_180, whole genome shotgun sequence
Seq_76	QWKM01000076.1 Sorghum bicolor cultivar Tx430 Contig_181, whole genome shotgun sequence
Seq_77	QWKM01000077.1 Sorghum bicolor cultivar Tx430 Contig_182, whole genome shotgun sequence
Seq_78	QWKM01000078.1 Sorghum bicolor cultivar Tx430 Contig_183, whole genome shotgun sequence
Seq_79	QWKM01000079.1 Sorghum bicolor cultivar Tx430 Contig_184, whole genome shotgun sequence
Seq_80	QWKM01000080.1 Sorghum bicolor cultivar Tx430 Contig_186, whole genome shotgun sequence
Seq_81	QWKM01000081.1 Sorghum bicolor cultivar Tx430 Contig_187, whole genome shotgun sequence
Seq_82	QWKM01000082.1 Sorghum bicolor cultivar Tx430 Contig_188, whole genome shotgun sequence
Seq_83	QWKM01000083.1 Sorghum bicolor cultivar Tx430 Contig_189, whole genome shotgun sequence
Seq_84	QWKM01000084.1 Sorghum bicolor cultivar Tx430 Contig_190, whole genome shotgun sequence
Seq_85	QWKM01000085.1 Sorghum bicolor cultivar Tx430 Contig_192, whole genome shotgun sequence
