QWKM01000214.1	contig_333
QWKM01000215.1	contig_334
QWKM01000216.1	contig_335
QWKM01000217.1	contig_336
QWKM01000218.1	contig_337
QWKM01000219.1	contig_338
QWKM01000220.1	contig_339
QWKM01000221.1	contig_35
QWKM01000222.1	contig_36
QWKM01000223.1	contig_37
QWKM01000224.1	contig_38
QWKM01000225.1	contig_39
QWKM01000226.1	contig_4
QWKM01000227.1	contig_41
QWKM01000228.1	contig_42
QWKM01000229.1	contig_43
QWKM01000230.1	contig_44
QWKM01000231.1	contig_45
QWKM01000232.1	contig_47
QWKM01000233.1	contig_48
QWKM01000234.1	contig_49
QWKM01000235.1	contig_5
QWKM01000236.1	contig_50
QWKM01000237.1	contig_51
QWKM01000238.1	contig_52
QWKM01000239.1	contig_53
QWKM01000240.1	contig_55
QWKM01000241.1	contig_56
QWKM01000242.1	contig_58
QWKM01000243.1	contig_59
QWKM01000244.1	contig_6
QWKM01000245.1	contig_60
QWKM01000246.1	contig_61
QWKM01000247.1	contig_62
QWKM01000248.1	contig_63
QWKM01000249.1	contig_64
QWKM01000250.1	contig_65
QWKM01000251.1	contig_66
QWKM01000252.1	contig_67
QWKM01000253.1	contig_69
QWKM01000254.1	contig_7
QWKM01000255.1	contig_70
QWKM01000256.1	contig_71
QWKM01000257.1	contig_72
QWKM01000258.1	contig_73
QWKM01000259.1	contig_74
QWKM01000260.1	contig_75
QWKM01000261.1	contig_76
QWKM01000262.1	contig_78
QWKM01000263.1	contig_79
QWKM01000264.1	contig_80
QWKM01000265.1	contig_81
QWKM01000266.1	contig_83
QWKM01000267.1	contig_84
QWKM01000268.1	contig_85
QWKM01000269.1	contig_86
QWKM01000270.1	contig_87
QWKM01000271.1	contig_89
QWKM01000272.1	contig_92
QWKM01000273.1	contig_93
QWKM01000274.1	contig_94
QWKM01000275.1	contig_95
QWKM01000276.1	contig_96
QWKM01000277.1	contig_97
QWKM01000278.1	contig_98
QWKM01000279.1	contig_99
QWKM01000280.1	scaffold_1
QWKM01000281.1	scaffold_10
QWKM01000282.1	scaffold_11
QWKM01000283.1	scaffold_12
QWKM01000284.1	scaffold_13
QWKM01000285.1	scaffold_14
QWKM01000286.1	scaffold_15
QWKM01000287.1	scaffold_16
QWKM01000288.1	scaffold_17
QWKM01000289.1	scaffold_18
QWKM01000290.1	scaffold_19
QWKM01000291.1	scaffold_2
QWKM01000292.1	scaffold_20
QWKM01000293.1	scaffold_21
QWKM01000294.1	scaffold_22
QWKM01000295.1	scaffold_23
QWKM01000296.1	scaffold_24
QWKM01000297.1	scaffold_25
QWKM01000298.1	scaffold_26
QWKM01000299.1	scaffold_27
QWKM01000300.1	scaffold_28
QWKM01000301.1	scaffold_29
QWKM01000302.1	scaffold_3
QWKM01000303.1	scaffold_4
QWKM01000304.1	scaffold_5
QWKM01000305.1	scaffold_6
QWKM01000306.1	scaffold_7
QWKM01000307.1	scaffold_8
QWKM01000308.1	scaffold_9
